Part Number,Manufacturer,Stock,Web active,Description,Process,Condition,Ebay Listing Link
0010-21716,Appiled Materials ,1,ebay,Shield,PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-21716-Shield-AMAT-PVD/331959415571?hash=item4d4a52b313:g:pbEAAOSwOdpXyy~O
0010-30001,Applied Materials ,1,ebay,"Degasser, Assy.",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-30001-Degasser-Assy-AMAT-CVD/232454166952?hash=item361f5919a8%3Ag%3AD4IAAOSwnllZk3Fk&_sacat=0&_nkw=0010-30001&_from=R40&rt=nc&_trksid=m570.l1313
0010-30059,Applied Materials,6,ebay,"Pedestal, 200 mm",Etch,New,
0010-30246,Applied Materials ,1,ebay,"Susceptor, Assy. 150 MM Non-Cntct SW Cheese DCS",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-30246-Susceptor-Assy-150-MM-SW-Cheese-DCS-AMAT/331919132402?hash=item4d47ec06f2:g:eDkAAOSwYIxX7Acy:rk:2:pf:0
0010-30318,Applied Materials ,1,ebay,"Lid, Etch SSGD B/C",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-30318-Lid-Etch-SSGD-B-C-AMAT-MXP-Etch/331984782154?hash=item4d4bd5c34a:g:d54AAOSw4shX6~h8:rk:1:pf:0
0010-30320,Applied Materials ,1,ebay,"Hinge, Assy. R2 ",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-30320-Hinge-Assy-R2-AMAT-Etch/232049056224?hash=item36073399e0:g:5TUAAOSwU-pXsVao
0010-30366,Applied Materials ,1,ebay,"ASSY,SMALL TOWER",Etch,New,
0010-30402,Applied Materials ,1,ebay,"Drive Assy.,Throttle  Valve, Direct  Drive",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-30402-Drive-Assy-Throttle-Valve-Direct-Drive-AMAT-CVD/331926951109?hash=item4d486354c5:g:7Y0AAOSwbsBXoT~Y
0010-35492,Applied Materials ,1,ebay,Delta Lamp Module DCS,CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-35492-Lamp-Module-Delta-DCS-AU-AMAT-Centura/331919105454?hash=item4d47eb9dae:g:XNEAAOSwaB5XltDH
0010-35502,Applied Materials ,1,ebay,"RF Match, Assy. W/peak Detector, SC/ESC",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-35502-RF-Match-Assy-W-peak-Detector/232097554357?hash=item360a179fb5:g:yRoAAOSwAuZX7ACU:rk:1:pf:0
0010-35560,Applied Materials ,1,ebay,"Hose, Assy SS Amat-1 Heat Exchanger",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-35560-Hose-Assy-AMAT-1-Heat-Exchanger-AMAT/232026910234?hash=item3605e1ae1a:g:SKgAAOSw0fhXlt4x:rk:1:pf:0
0010-36162,Applied Materials ,1,ebay,"RF Match, Etch Mxp+",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-36162-RF-Match-Assy-Etch-Mxp/232180023524?hash=item360f0200e4:g:S80AAOSwo4pYWHlf:rk:2:pf:0
0010-36388,Applied Materials ,1,ebay,"Lamp Module, Assy. DTCU DPS Poly",DPS,New,https://www.ebay.com/itm/Applied-Materials-0010-36388-Lamp-Module-Assy-DTCU-DPS-Poly-AMAT/331919132525?hash=item4d47ec076d:g:VDcAAOSwRgJXlt47
0010-36413,Applied Materials ,1,ebay,"ASSY,TOOL,LIFTING,UPPER CHAMBER",Other Items,Used,https://www.ebay.com/itm/Applied-Materials-0010-36413-ASSY-TOOL-LIFTING-UPPER-CHAMBER-AMAT-DPS/232080337505?hash=item360910ea61:g:jAYAAOSwGtRX1wDR:rk:1:pf:0
0010-36617,Applied Materials ,1,ebay,"RF Feedthrough, Assy.",DPS,New,https://www.ebay.com/itm/Applied-Materials-0010-36617-RF-Feedthru-Assy-DTCU-DPS-Poly-AMAT/232026910342?hash=item3605e1ae86:g:SfEAAOSw0fhXlt5F:rk:3:pf:0
0010-37167,Applied Materials,1,ebay,"HV Filter, Assy.  Centura 5200 DPS",DPS,Used,https://www.ebay.com/itm/Applied-Materials-0010-37167-HV-Filter-Assy-Centura-5200-DPS/232026883416?hash=item3605e14558:g:dd8AAOSw-YVXltNH
0010-37899,Applied Materials ,1,ebay,"Recess Etch, Assy. 2.75 Window, DPS ",DPS,New,
0010-38188,Appiled Materials ,1,ebay,"Pumping Port Liner, Assy. w/Endpoint",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-38188-Pumping-Port-Liner-Assy-w-Endpoint-AMAT/232026910409?hash=item3605e1aec9:g:Rr4AAOSwdzVXlt5N
0010-38823,Appiled Materials ,1,ebay,"Valve, Slit Actuator Chemraz",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-38823-VAT-Valve-0300X-CA24-All1-38/232028495632?hash=item3605f9df10:g:Bn0AAOSwbsBXmGao
0010-60013,Applied Materials ,5,ebay,"Susceptor, BWCVD 125 MM",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-60013-Susceptor-125-MM-BWCVD-CVD/232027785551?hash=item3605ef094f:g:EOMAAOSwmfhX7AgV:rk:1:pf:0
0010-60019,Applied Materials,1,ebay,"Susceptor, Shdw. Ring 100 mm",CVD,New ,
0010-70001,Appiled Materials ,1,ebay,"Cassette Handler, Assy. Bottom",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70001-Cassette-Handler-AMAT-P-5000-Mark-II/331919113893?hash=item4d47ebbea5:g:z3EAAOSw0RpXltSL
